id,text,homeAway,scoringPlay,participants,shootingPlay,pointsAttempted,period.number,athlete.id,coordinate.x,coordinate.y,type.categoryId,type.id,type.txt,gameId
401823009113875164,Morgan Safford made Three Point Jumper. Assisted by Omer Hamama.,home,True,"[{'id': '4593739'}, {'id': '5313328'}]",True,3,1,4593739,1,-2,1003,558,JumpShot,401823009
401823009113875301,Morgan Safford missed Three Point Jumper.,home,,[{'id': '4593739'}],True,3,1,4593739,9,21,1006,558,JumpShot,401823009
401823009113875342,Morgan Safford missed Three Point Jumper.,home,,[{'id': '4593739'}],True,3,1,4593739,48,15,1006,558,JumpShot,401823009
401823009113875536,Delrecco Gillespie made Layup. Assisted by Omer Hamama.,home,True,"[{'id': '5108093'}, {'id': '5313328'}]",True,2,1,5108093,24,1,1002,572,LayUpShot,401823009
401823009113875617,Cooper Noard made Three Point Jumper. Assisted by Jacob Beccles.,away,True,"[{'id': '5106247'}, {'id': '5175898'}]",True,3,1,5106247,0,3,1003,558,JumpShot,401823009
401823009113875779,Jahari Williamson made Three Point Jumper. Assisted by Omer Hamama.,home,True,"[{'id': '5176400'}, {'id': '5313328'}]",True,3,1,5176400,8,18,1003,558,JumpShot,401823009
401823009113875896,Jacob Beccles missed Three Point Jumper.,away,,[{'id': '5175898'}],True,3,1,5175898,9,19,1006,558,JumpShot,401823009
401823009113875988,Jahari Williamson missed Three Point Jumper.,home,,[{'id': '5176400'}],True,3,1,5176400,45,16,1006,558,JumpShot,401823009
401823009113876323,Omer Hamama made Layup.,home,True,[{'id': '5313328'}],True,2,1,5313328,26,1,1002,572,LayUpShot,401823009
401823009113876623,Delrecco Gillespie made Jumper.,home,True,[{'id': '5108093'}],True,2,1,5108093,20,4,1002,558,JumpShot,401823009
401823009113877194,Magnus Entenmann missed Three Point Jumper.,home,,[{'id': '5108091'}],True,3,1,5108091,42,19,1006,558,JumpShot,401823009
401823009113877263,Cooper Noard missed Three Point Jumper.,away,,[{'id': '5106247'}],True,3,1,5106247,8,19,1006,558,JumpShot,401823009
401823009113878181,Josh Baldwin missed Three Point Jumper.,away,,[{'id': '5106245'}],True,3,1,5106245,38,20,1006,558,JumpShot,401823009
401823009113878331,Adam Hinton made Three Point Jumper. Assisted by Gioacchino Panzini.,away,True,"[{'id': '5106243'}, {'id': '5241716'}]",True,3,1,5106243,4,14,1003,558,JumpShot,401823009
401823009113878534,Quinn Woidke made Layup.,home,True,[{'id': '5313324'}],True,2,1,5313324,24,4,1002,572,LayUpShot,401823009
401823009113878779,Adam Hinton made Layup.,away,True,[{'id': '5106243'}],True,2,1,5106243,28,4,1002,572,LayUpShot,401823009
401823009113879080,Kaspar Sepp made Three Point Jumper.,away,True,[{'id': '5176404'}],True,3,1,5176404,13,21,1003,558,JumpShot,401823009
401823009113879198,Delrecco Gillespie made Layup. Assisted by Quinn Woidke.,home,True,"[{'id': '5108093'}, {'id': '5313324'}]",True,2,1,5108093,24,2,1002,572,LayUpShot,401823009
401823009113879395,Delrecco Gillespie missed Free Throw.,home,,[{'id': '5108093'}],True,1,1,5108093,25,0,1004,540,MadeFreeThrow,401823009
401823009113879465,Adam Hinton missed Three Point Jumper.,away,,[{'id': '5106243'}],True,3,1,5106243,40,25,1006,558,JumpShot,401823009
401823009113879566,Cian Medley made Three Point Jumper.,home,True,[{'id': '5174637'}],True,3,1,5174637,25,27,1003,558,JumpShot,401823009
401823009113880134,Landon Vanderwarker missed Jumper.,home,,[{'id': '5313325'}],True,2,1,5313325,23,11,1005,558,JumpShot,401823009
401823009113880219,Cooper Noard missed Three Point Jumper.,away,,[{'id': '5106247'}],True,3,1,5106247,4,12,1006,558,JumpShot,401823009
401823009113880589,Cooper Noard missed Layup.,away,,[{'id': '5106247'}],True,2,1,5106247,28,5,1005,572,LayUpShot,401823009
401823009113880591,Rayvon Griffith made Layup. Assisted by Quinn Woidke.,home,True,"[{'id': '4683765'}, {'id': '5313324'}]",True,2,1,4683765,23,4,1002,572,LayUpShot,401823009
401823009113880711,Jacob Beccles made Three Point Jumper. Assisted by Josh Baldwin.,away,True,"[{'id': '5175898'}, {'id': '5106245'}]",True,3,1,5175898,43,21,1003,558,JumpShot,401823009
401823009113880852,Landon Vanderwarker made Layup.,home,True,[{'id': '5313325'}],True,2,1,5313325,28,3,1002,572,LayUpShot,401823009
401823009113880916,DJ Nix made Three Point Jumper. Assisted by Jacob Beccles.,away,True,"[{'id': '4684840'}, {'id': '5175898'}]",True,3,1,4684840,1,3,1003,558,JumpShot,401823009
401823009113880984,Landon Vanderwarker made Three Point Jumper.,home,True,[{'id': '5313325'}],True,3,1,5313325,36,22,1003,558,JumpShot,401823009
401823009113881107,Cooper Noard made Three Point Jumper. Assisted by Josh Baldwin.,away,True,"[{'id': '5106247'}, {'id': '5106245'}]",True,3,1,5106247,8,19,1003,558,JumpShot,401823009
401823009113882066,Jahari Williamson missed Three Point Jumper.,home,,[{'id': '5176400'}],True,3,1,5176400,4,11,1006,558,JumpShot,401823009
401823009113882307,Corbin Zentner made Three Point Jumper. Assisted by DaMaryon Fishburn.,away,True,"[{'id': '5196671'}, {'id': '5313688'}]",True,3,1,5196671,24,26,1003,558,JumpShot,401823009
401823009113882319,Rayvon Griffith missed Three Point Jumper.,home,,[{'id': '4683765'}],True,3,1,4683765,0,0,1006,558,JumpShot,401823009
401823009113882581,Cian Medley made Three Point Jumper.,home,True,[{'id': '5174637'}],True,3,1,5174637,16,26,1003,558,JumpShot,401823009
401823009113882618,Adam Hinton made Three Point Jumper. Assisted by Kaspar Sepp.,away,True,"[{'id': '5106243'}, {'id': '5176404'}]",True,3,1,5106243,11,23,1003,558,JumpShot,401823009
401823009113882683,Omer Hamama missed Jumper.,home,,[{'id': '5313328'}],True,2,1,5313328,22,14,1005,558,JumpShot,401823009
401823009113882784,Ryan Burbach missed Layup.,away,,[{'id': '5313691'}],True,2,1,5313691,29,3,1005,572,LayUpShot,401823009
401823009113882839,Cian Medley made Three Point Jumper.,home,True,[{'id': '5174637'}],True,3,1,5174637,11,22,1003,558,JumpShot,401823009
401823009113882964,Jacob Beccles missed Three Point Jumper.,away,,[{'id': '5175898'}],True,3,1,5175898,6,16,1006,558,JumpShot,401823009
401823009113883183,Delrecco Gillespie made Free Throw.,home,True,[{'id': '5108093'}],True,1,1,5108093,25,0,1001,540,MadeFreeThrow,401823009
401823009113883297,Delrecco Gillespie made Free Throw.,home,True,[{'id': '5108093'}],True,1,1,5108093,25,0,1001,540,MadeFreeThrow,401823009
401823009113883513,Cooper Noard made Three Point Jumper. Assisted by Kaspar Sepp.,away,True,"[{'id': '5106247'}, {'id': '5176404'}]",True,3,1,5106247,12,22,1003,558,JumpShot,401823009
401823009113883584,Omer Hamama made Three Point Jumper. Assisted by Jahari Williamson.,home,True,"[{'id': '5313328'}, {'id': '5176400'}]",True,3,1,5313328,4,10,1003,558,JumpShot,401823009
401823009113883683,Adam Hinton made Three Point Jumper. Assisted by Jacob Beccles.,away,True,"[{'id': '5106243'}, {'id': '5175898'}]",True,3,1,5106243,1,2,1003,558,JumpShot,401823009
401823009113885014,Morgan Safford made Layup.,home,True,[{'id': '4593739'}],True,2,1,4593739,26,1,1002,572,LayUpShot,401823009
401823009113885025,Gioacchino Panzini made Layup. Assisted by DJ Nix.,away,True,"[{'id': '5241716'}, {'id': '4684840'}]",True,2,1,5241716,27,4,1002,572,LayUpShot,401823009
401823009113885213,Jahari Williamson missed Three Point Jumper.,home,,[{'id': '5176400'}],True,3,1,5176400,48,1,1006,558,JumpShot,401823009
401823009113885462,Morgan Safford made Three Point Jumper. Assisted by Rob Whaley Jr..,home,True,"[{'id': '4593739'}, {'id': '5176262'}]",True,3,1,4593739,3,1,1003,558,JumpShot,401823009
401823009113885618,DaMaryon Fishburn made Three Point Jumper. Assisted by Josh Baldwin.,away,True,"[{'id': '5313688'}, {'id': '5106245'}]",True,3,1,5313688,48,16,1003,558,JumpShot,401823009
401823009113885790,DaMaryon Fishburn made Layup.,away,True,[{'id': '5313688'}],True,2,1,5313688,26,2,1002,572,LayUpShot,401823009
401823009113885804,Rob Whaley Jr. missed Three Point Jumper.,home,,[{'id': '5176262'}],True,3,1,5176262,25,26,1006,558,JumpShot,401823009
401823009113886547,Morgan Safford made Free Throw.,home,True,[{'id': '4593739'}],True,1,1,4593739,25,0,1001,540,MadeFreeThrow,401823009
401823009113886612,Morgan Safford made Free Throw.,home,True,[{'id': '4593739'}],True,1,1,4593739,25,0,1001,540,MadeFreeThrow,401823009
401823009113886788,Ian Imegwu missed Three Point Jumper.,away,,[{'id': '5175897'}],True,3,1,5175897,13,23,1006,558,JumpShot,401823009
401823009113887041,DJ Nix missed Free Throw.,away,,[{'id': '4684840'}],True,1,1,4684840,25,0,1004,540,MadeFreeThrow,401823009
401823009113887332,DJ Nix missed Free Throw.,away,,[{'id': '4684840'}],True,1,1,4684840,25,0,1004,540,MadeFreeThrow,401823009
401823009113887512,Morgan Safford made Three Point Jumper. Assisted by Omer Hamama.,home,True,"[{'id': '4593739'}, {'id': '5313328'}]",True,3,1,4593739,43,18,1003,558,JumpShot,401823009
401823009113887978,Adam Hinton made Free Throw.,away,True,[{'id': '5106243'}],True,1,1,5106243,25,0,1001,540,MadeFreeThrow,401823009
401823009113888071,Adam Hinton made Free Throw.,away,True,[{'id': '5106243'}],True,1,1,5106243,25,0,1001,540,MadeFreeThrow,401823009
401823009113888954,Jahari Williamson missed Layup.,home,,[{'id': '5176400'}],True,2,1,5176400,26,2,1005,572,LayUpShot,401823009
401823009113889030,DJ Nix made Three Point Jumper. Assisted by Gioacchino Panzini.,away,True,"[{'id': '4684840'}, {'id': '5241716'}]",True,3,1,4684840,48,5,1003,558,JumpShot,401823009
401823009113889214,Omer Hamama missed Layup.,home,,[{'id': '5313328'}],True,2,1,5313328,29,4,1005,572,LayUpShot,401823009
401823009113889216,Delrecco Gillespie made Two Point Tip Shot.,home,True,[{'id': '5108093'}],True,2,1,5108093,25,1,1002,437,TipShot,401823009
401823009113889225,DJ Nix made Three Point Jumper. Assisted by Jacob Beccles.,away,True,"[{'id': '4684840'}, {'id': '5175898'}]",True,3,1,4684840,7,19,1003,558,JumpShot,401823009
401823009113889325,Rayvon Griffith made Three Point Jumper.,home,True,[{'id': '4683765'}],True,3,1,4683765,4,14,1003,558,JumpShot,401823009
401823009113889506,Adam Hinton missed Three Point Jumper.,away,,[{'id': '5106243'}],True,3,1,5106243,49,2,1006,558,JumpShot,401823009
401823009113889509,Gioacchino Panzini made Three Point Jumper. Assisted by Jacob Beccles.,away,True,"[{'id': '5241716'}, {'id': '5175898'}]",True,3,1,5241716,1,5,1003,558,JumpShot,401823009
401823009113890976,Jacob Beccles missed Layup.,away,,[{'id': '5175898'}],True,2,1,5175898,24,2,1005,572,LayUpShot,401823009
401823009113891063,Omer Hamama missed Three Point Jumper.,home,,[{'id': '5313328'}],True,3,1,5313328,48,3,1006,558,JumpShot,401823009
401823009113891504,Kaspar Sepp missed Free Throw.,away,,[{'id': '5176404'}],True,1,1,5176404,25,0,1004,540,MadeFreeThrow,401823009
401823009113891767,Magnus Entenmann missed Three Point Jumper.,home,,[{'id': '5108091'}],True,3,1,5108091,20,26,1006,558,JumpShot,401823009
401823009113891979,Quinn Woidke made Free Throw.,home,True,[{'id': '5313324'}],True,1,1,5313324,25,0,1001,540,MadeFreeThrow,401823009
401823009113892045,Quinn Woidke missed Free Throw.,home,,[{'id': '5313324'}],True,1,1,5313324,25,0,1004,540,MadeFreeThrow,401823009
401823009113892102,Morgan Safford missed Three Point Jumper.,home,,[{'id': '4593739'}],True,3,1,4593739,14,22,1006,558,JumpShot,401823009
401823009113892128,Delrecco Gillespie missed Jumper.,home,,[{'id': '5108093'}],True,2,1,5108093,22,5,1005,558,JumpShot,401823009
401823009113892132,Morgan Safford missed Layup.,home,,[{'id': '4593739'}],True,2,1,4593739,26,2,1005,572,LayUpShot,401823009
401823009113892454,Magnus Entenmann made Free Throw.,home,True,[{'id': '5108091'}],True,1,1,5108091,25,0,1001,540,MadeFreeThrow,401823009
401823009113892566,Magnus Entenmann made Free Throw.,home,True,[{'id': '5108091'}],True,1,1,5108091,25,0,1001,540,MadeFreeThrow,401823009
401823009113892718,Adam Hinton made Layup.,away,True,[{'id': '5106243'}],True,2,1,5106243,24,3,1002,572,LayUpShot,401823009
401823009113892838,Adam Hinton made Free Throw.,away,True,[{'id': '5106243'}],True,1,1,5106243,25,0,1001,540,MadeFreeThrow,401823009
401823009113892897,Delrecco Gillespie missed Layup.,home,,[{'id': '5108093'}],True,2,1,5108093,25,10,1005,572,LayUpShot,401823009
401823009113893183,Cooper Noard made Layup. Assisted by Kaspar Sepp.,away,True,"[{'id': '5106247'}, {'id': '5176404'}]",True,2,1,5106247,25,3,1002,572,LayUpShot,401823009
401823009113893307,Morgan Safford made Three Point Jumper. Assisted by Cian Medley.,home,True,"[{'id': '4593739'}, {'id': '5174637'}]",True,3,1,4593739,8,21,1003,558,JumpShot,401823009
401823009113898187,Cooper Noard missed Three Point Jumper.,away,,[{'id': '5106247'}],True,3,2,5106247,46,13,1006,558,JumpShot,401823009
401823009113898455,Morgan Safford made Three Point Jumper. Assisted by Omer Hamama.,home,True,"[{'id': '4593739'}, {'id': '5313328'}]",True,3,2,4593739,3,16,1003,558,JumpShot,401823009
401823009113898558,Adam Hinton missed Three Point Jumper.,away,,[{'id': '5106243'}],True,3,2,5106243,44,18,1006,558,JumpShot,401823009
401823009113898637,Jacob Beccles missed Layup.,away,,[{'id': '5175898'}],True,2,2,5175898,23,2,1005,572,LayUpShot,401823009
401823009113898917,Omer Hamama made Layup. Assisted by Morgan Safford.,home,True,"[{'id': '5313328'}, {'id': '4593739'}]",True,2,2,5313328,25,1,1002,572,LayUpShot,401823009
401823009113899063,Kaspar Sepp missed Layup.,away,,[{'id': '5176404'}],True,2,2,5176404,25,5,1005,572,LayUpShot,401823009
401823009113899153,Morgan Safford missed Three Point Jumper.,home,,[{'id': '4593739'}],True,3,2,4593739,5,19,1006,558,JumpShot,401823009
401823009113899309,Omer Hamama missed Three Point Jumper.,home,,[{'id': '5313328'}],True,3,2,5313328,48,3,1006,558,JumpShot,401823009
401823009113899376,DJ Nix missed Three Point Jumper.,away,,[{'id': '4684840'}],True,3,2,4684840,3,15,1006,558,JumpShot,401823009
401823009113900232,Adam Hinton made Free Throw.,away,True,[{'id': '5106243'}],True,1,2,5106243,25,0,1001,540,MadeFreeThrow,401823009
401823009113900409,Adam Hinton made Free Throw.,away,True,[{'id': '5106243'}],True,1,2,5106243,25,0,1001,540,MadeFreeThrow,401823009
401823009113900644,Delrecco Gillespie made Dunk. Assisted by Omer Hamama.,home,True,"[{'id': '5108093'}, {'id': '5313328'}]",True,2,2,5108093,26,2,1002,574,DunkShot,401823009
401823009113900721,Cooper Noard missed Three Point Jumper.,away,,[{'id': '5106247'}],True,3,2,5106247,19,26,1006,558,JumpShot,401823009
401823009113901503,Morgan Safford made Three Point Jumper. Assisted by Rob Whaley Jr..,home,True,"[{'id': '4593739'}, {'id': '5176262'}]",True,3,2,4593739,4,14,1003,558,JumpShot,401823009
401823009113901640,Jahari Williamson made Three Point Jumper. Assisted by Rob Whaley Jr..,home,True,"[{'id': '5176400'}, {'id': '5176262'}]",True,3,2,5176400,45,19,1003,558,JumpShot,401823009
401823009113903096,Jahari Williamson made Free Throw.,home,True,[{'id': '5176400'}],True,1,2,5176400,25,0,1001,540,MadeFreeThrow,401823009
401823009113903458,Morgan Safford missed Three Point Jumper.,home,,[{'id': '4593739'}],True,3,2,4593739,3,13,1006,558,JumpShot,401823009
401823009113903572,Delrecco Gillespie made Jumper.,home,True,[{'id': '5108093'}],True,2,2,5108093,38,4,1002,558,JumpShot,401823009
401823009113905018,Gioacchino Panzini missed Layup.,away,,[{'id': '5241716'}],True,2,2,5241716,27,2,1005,572,LayUpShot,401823009
401823009113905097,Gioacchino Panzini made Two Point Tip Shot.,away,True,[{'id': '5241716'}],True,2,2,5241716,25,1,1002,437,TipShot,401823009
401823009113905346,Rob Whaley Jr. made Free Throw.,home,True,[{'id': '5176262'}],True,1,2,5176262,25,0,1001,540,MadeFreeThrow,401823009
401823009113905504,Rob Whaley Jr. missed Free Throw.,home,,[{'id': '5176262'}],True,1,2,5176262,25,0,1004,540,MadeFreeThrow,401823009
401823009113907245,Jacob Beccles missed Free Throw.,away,,[{'id': '5175898'}],True,1,2,5175898,25,0,1004,540,MadeFreeThrow,401823009
401823009113907374,Jacob Beccles made Free Throw.,away,True,[{'id': '5175898'}],True,1,2,5175898,25,0,1001,540,MadeFreeThrow,401823009
401823009113907914,Quinn Woidke made Three Point Jumper. Assisted by Rob Whaley Jr..,home,True,"[{'id': '5313324'}, {'id': '5176262'}]",True,3,2,5313324,34,25,1003,558,JumpShot,401823009
401823009113908108,Cian Medley missed Three Point Jumper.,home,,[{'id': '5174637'}],True,3,2,5174637,38,25,1006,558,JumpShot,401823009
401823009113908112,Quinn Woidke missed Three Point Jumper.,home,,[{'id': '5313324'}],True,3,2,5313324,18,24,1006,558,JumpShot,401823009
401823009113908376,Cooper Noard made Three Point Jumper. Assisted by Jacob Beccles.,away,True,"[{'id': '5106247'}, {'id': '5175898'}]",True,3,2,5106247,5,15,1003,558,JumpShot,401823009
401823009113908714,Morgan Safford missed Free Throw.,home,,[{'id': '4593739'}],True,1,2,4593739,25,0,1004,540,MadeFreeThrow,401823009
401823009113908927,Morgan Safford made Free Throw.,home,True,[{'id': '4593739'}],True,1,2,4593739,25,0,1001,540,MadeFreeThrow,401823009
401823009113909069,Cooper Noard made Jumper.,away,True,[{'id': '5106247'}],True,2,2,5106247,19,12,1002,558,JumpShot,401823009
401823009113909160,Magnus Entenmann made Dunk. Assisted by Omer Hamama.,home,True,"[{'id': '5108091'}, {'id': '5313328'}]",True,2,2,5108091,25,5,1002,574,DunkShot,401823009
401823009113909391,Magnus Entenmann made Free Throw.,home,True,[{'id': '5108091'}],True,1,2,5108091,25,0,1001,540,MadeFreeThrow,401823009
401823009113909792,Josh Baldwin missed Free Throw.,away,,[{'id': '5106245'}],True,1,2,5106245,25,0,1004,540,MadeFreeThrow,401823009
401823009113909797,Adam Hinton made Three Point Jumper. Assisted by Josh Baldwin.,away,True,"[{'id': '5106243'}, {'id': '5106245'}]",True,3,2,5106243,3,12,1003,558,JumpShot,401823009
401823009113909936,Landon Vanderwarker made Layup. Assisted by Quinn Woidke.,home,True,"[{'id': '5313325'}, {'id': '5313324'}]",True,2,2,5313325,23,2,1002,572,LayUpShot,401823009
401823009113909989,Adam Hinton missed Three Point Jumper.,away,,[{'id': '5106243'}],True,3,2,5106243,14,25,1006,558,JumpShot,401823009
401823009113911988,Cooper Noard made Free Throw.,away,True,[{'id': '5106247'}],True,1,2,5106247,25,0,1001,540,MadeFreeThrow,401823009
401823009113912147,Cooper Noard made Free Throw.,away,True,[{'id': '5106247'}],True,1,2,5106247,25,0,1001,540,MadeFreeThrow,401823009
401823009113912333,Rayvon Griffith missed Three Point Jumper.,home,,[{'id': '4683765'}],True,3,2,4683765,1,5,1006,558,JumpShot,401823009
401823009113912398,Kaspar Sepp made Layup.,away,True,[{'id': '5176404'}],True,2,2,5176404,25,4,1002,572,LayUpShot,401823009
401823009113912815,Delrecco Gillespie missed Free Throw.,home,,[{'id': '5108093'}],True,1,2,5108093,25,0,1004,540,MadeFreeThrow,401823009
401823009113912993,Delrecco Gillespie made Free Throw.,home,True,[{'id': '5108093'}],True,1,2,5108093,25,0,1001,540,MadeFreeThrow,401823009
401823009113913085,Adam Hinton missed Three Point Jumper.,away,,[{'id': '5106243'}],True,3,2,5106243,6,18,1006,558,JumpShot,401823009
401823009113913149,Jacob Beccles made Layup.,away,True,[{'id': '5175898'}],True,2,2,5175898,27,1,1002,572,LayUpShot,401823009
401823009113913164,Delrecco Gillespie missed Layup.,home,,[{'id': '5108093'}],True,2,2,5108093,29,3,1005,572,LayUpShot,401823009
401823009113913396,Cooper Noard made Layup.,away,True,[{'id': '5106247'}],True,2,2,5106247,26,3,1002,572,LayUpShot,401823009
401823009113913477,Morgan Safford made Three Point Jumper. Assisted by Omer Hamama.,home,True,"[{'id': '4593739'}, {'id': '5313328'}]",True,3,2,4593739,8,18,1003,558,JumpShot,401823009
401823009113913666,Adam Hinton made Jumper.,away,True,[{'id': '5106243'}],True,2,2,5106243,27,4,1002,558,JumpShot,401823009
401823009113913797,Morgan Safford made Three Point Jumper. Assisted by Omer Hamama.,home,True,"[{'id': '4593739'}, {'id': '5313328'}]",True,3,2,4593739,45,18,1003,558,JumpShot,401823009
401823009113914240,Cooper Noard made Free Throw.,away,True,[{'id': '5106247'}],True,1,2,5106247,25,0,1001,540,MadeFreeThrow,401823009
401823009113914292,Cooper Noard made Free Throw.,away,True,[{'id': '5106247'}],True,1,2,5106247,25,0,1001,540,MadeFreeThrow,401823009
401823009113914661,Rob Whaley Jr. made Jumper.,home,True,[{'id': '5176262'}],True,2,2,5176262,42,4,1002,558,JumpShot,401823009
401823009113914956,Josh Baldwin made Free Throw.,away,True,[{'id': '5106245'}],True,1,2,5106245,25,0,1001,540,MadeFreeThrow,401823009
401823009113915168,Josh Baldwin made Free Throw.,away,True,[{'id': '5106245'}],True,1,2,5106245,25,0,1001,540,MadeFreeThrow,401823009
401823009113915417,Morgan Safford missed Free Throw.,home,,[{'id': '4593739'}],True,1,2,4593739,25,0,1004,540,MadeFreeThrow,401823009
401823009113915585,Morgan Safford made Free Throw.,home,True,[{'id': '4593739'}],True,1,2,4593739,25,0,1001,540,MadeFreeThrow,401823009
401823009113915619,DJ Nix missed Three Point Jumper.,away,,[{'id': '4684840'}],True,3,2,4684840,2,3,1006,558,JumpShot,401823009
401823009113916887,Josh Baldwin missed Layup.,away,,[{'id': '5106245'}],True,2,2,5106245,27,3,1005,572,LayUpShot,401823009
401823009113916984,Rob Whaley Jr. made Jumper.,home,True,[{'id': '5176262'}],True,2,2,5176262,23,5,1002,558,JumpShot,401823009
401823009113917057,Cooper Noard missed Three Point Jumper.,away,,[{'id': '5106247'}],True,3,2,5106247,6,18,1006,558,JumpShot,401823009
401823009113917274,Jahari Williamson missed Three Point Jumper.,home,,[{'id': '5176400'}],True,3,2,5176400,0,2,1006,558,JumpShot,401823009
401823009113917378,Morgan Safford missed Free Throw.,home,,[{'id': '4593739'}],True,1,2,4593739,25,0,1004,540,MadeFreeThrow,401823009
401823009113917582,Morgan Safford made Free Throw.,home,True,[{'id': '4593739'}],True,1,2,4593739,25,0,1001,540,MadeFreeThrow,401823009
401823009113917746,Adam Hinton missed Three Point Jumper.,away,,[{'id': '5106243'}],True,3,2,5106243,18,26,1006,558,JumpShot,401823009
401823009113917826,Delrecco Gillespie missed Three Point Jumper.,home,,[{'id': '5108093'}],True,3,2,5108093,17,26,1006,558,JumpShot,401823009
401823009113918049,Adam Hinton missed Jumper.,away,,[{'id': '5106243'}],True,2,2,5106243,17,8,1005,558,JumpShot,401823009
401823009113919035,Cooper Noard made Layup.,away,True,[{'id': '5106247'}],True,2,2,5106247,24,4,1002,572,LayUpShot,401823009
401823009113919181,Cian Medley made Free Throw.,home,True,[{'id': '5174637'}],True,1,2,5174637,25,0,1001,540,MadeFreeThrow,401823009
401823009113919217,Cian Medley made Free Throw.,home,True,[{'id': '5174637'}],True,1,2,5174637,25,0,1001,540,MadeFreeThrow,401823009
401823009113919326,Adam Hinton made Three Point Jumper. Assisted by Jacob Beccles.,away,True,"[{'id': '5106243'}, {'id': '5175898'}]",True,3,2,5106243,39,21,1003,558,JumpShot,401823009
401823009113919385,Cian Medley missed Jumper.,home,,[{'id': '5174637'}],True,2,2,5174637,36,16,1005,558,JumpShot,401823009
401823009113919508,Delrecco Gillespie missed Free Throw.,home,,[{'id': '5108093'}],True,1,2,5108093,25,0,1004,540,MadeFreeThrow,401823009
401823009113919552,Delrecco Gillespie missed Free Throw.,home,,[{'id': '5108093'}],True,1,2,5108093,25,0,1004,540,MadeFreeThrow,401823009
401823009113919760,Cooper Noard made Free Throw.,away,True,[{'id': '5106247'}],True,1,2,5106247,25,0,1001,540,MadeFreeThrow,401823009
401823009113919834,Cooper Noard made Free Throw.,away,True,[{'id': '5106247'}],True,1,2,5106247,25,0,1001,540,MadeFreeThrow,401823009
401823009113919894,Adam Hinton made Three Point Jumper. Assisted by Cooper Noard.,away,True,"[{'id': '5106243'}, {'id': '5106247'}]",True,3,2,5106243,5,17,1003,558,JumpShot,401823009
401823009113919950,Jahari Williamson made Layup.,home,True,[{'id': '5176400'}],True,2,2,5176400,27,2,1002,572,LayUpShot,401823009
401823009113920015,Cooper Noard made Layup.,away,True,[{'id': '5106247'}],True,2,2,5106247,22,3,1002,572,LayUpShot,401823009
401823009113920876,Rob Whaley Jr. made Free Throw.,home,True,[{'id': '5176262'}],True,1,2,5176262,25,0,1001,540,MadeFreeThrow,401823009
401823009113920916,Rob Whaley Jr. made Free Throw.,home,True,[{'id': '5176262'}],True,1,2,5176262,25,0,1001,540,MadeFreeThrow,401823009
401823009113921015,Gioacchino Panzini missed Three Point Jumper.,away,,[{'id': '5241716'}],True,3,2,5241716,47,1,1006,558,JumpShot,401823009
401823009113921059,Adam Hinton missed Jumper.,away,,[{'id': '5106243'}],True,2,2,5106243,35,1,1005,558,JumpShot,401823009
401823009113921119,Morgan Safford made Three Point Jumper. Assisted by Omer Hamama.,home,True,"[{'id': '4593739'}, {'id': '5313328'}]",True,3,2,4593739,2,9,1003,558,JumpShot,401823009
401823009113921526,Cooper Noard made Free Throw.,away,True,[{'id': '5106247'}],True,1,2,5106247,25,0,1001,540,MadeFreeThrow,401823009
401823009113921632,Cooper Noard made Free Throw.,away,True,[{'id': '5106247'}],True,1,2,5106247,25,0,1001,540,MadeFreeThrow,401823009
401823009113921761,Cooper Noard made Free Throw.,away,True,[{'id': '5106247'}],True,1,2,5106247,25,0,1001,540,MadeFreeThrow,401823009
401823009113921854,Morgan Safford missed Three Point Jumper.,home,,[{'id': '4593739'}],True,3,2,4593739,4,16,1006,558,JumpShot,401823009
401823009113921919,Kaspar Sepp made Layup.,away,True,[{'id': '5176404'}],True,2,2,5176404,28,4,1002,572,LayUpShot,401823009
401823009113922001,Rob Whaley Jr. missed Layup.,home,,[{'id': '5176262'}],True,2,2,5176262,28,3,1005,572,LayUpShot,401823009
401823009113922039,Cooper Noard made Three Point Jumper. Assisted by Kaspar Sepp.,away,True,"[{'id': '5106247'}, {'id': '5176404'}]",True,3,2,5106247,1,0,1003,558,JumpShot,401823009
401823009113922957,Cian Medley missed Free Throw.,home,,[{'id': '5174637'}],True,1,2,5174637,25,0,1004,540,MadeFreeThrow,401823009
401823009113922999,Cian Medley made Free Throw.,home,True,[{'id': '5174637'}],True,1,2,5174637,25,0,1001,540,MadeFreeThrow,401823009
401823009113923483,Cooper Noard missed Three Point Jumper.,away,,[{'id': '5106247'}],True,3,2,5106247,46,15,1006,558,JumpShot,401823009
401823009113924078,Rob Whaley Jr. made Free Throw.,home,True,[{'id': '5176262'}],True,1,2,5176262,25,0,1001,540,MadeFreeThrow,401823009
401823009113924176,Rob Whaley Jr. made Free Throw.,home,True,[{'id': '5176262'}],True,1,2,5176262,25,0,1001,540,MadeFreeThrow,401823009
401823009113924228,Cooper Noard missed Three Point Jumper.,away,,[{'id': '5106247'}],True,3,2,5106247,37,22,1006,558,JumpShot,401823009
401823009113924462,Rob Whaley Jr. made Free Throw.,home,True,[{'id': '5176262'}],True,1,2,5176262,25,0,1001,540,MadeFreeThrow,401823009
401823009113924565,Rob Whaley Jr. missed Free Throw.,home,,[{'id': '5176262'}],True,1,2,5176262,25,0,1004,540,MadeFreeThrow,401823009
